app	total	age_1	age_2	age_3	age_4	age_5	age_6	gini	gain
青岛农商银行直销银行	27195	45.0	3878.0	4070.0	6372.0	8007.0	4787.0	0.7964282568193909	1.6279413845741617
高铁管家12306火车票	1110529	2705.0	237704.0	251482.0	240557.0	247149.0	129758.0	0.7964180792298408	1.6278465486175369
鹅漫u品	22353	513.0	14739.0	3652.0	1568.0	1190.0	679.0	0.79633766852101	1.6277674861693197
麦小贱	26780	80.0	6665.0	6433.0	6663.0	5217.0	1701.0	0.7964321443613385	1.6279492370016262
365骑士	45883	54.0	7389.0	11419.0	12945.0	11017.0	3042.0	0.7964252542687106	1.6279279060340104
91火拼麻将	32497	244.0	9026.0	8142.0	7339.0	5529.0	2186.0	0.7964289374711745	1.627943075469178
bowmasters	15505	115.0	2259.0	1456.0	3838.0	6415.0	1405.0	0.7964215074358502	1.6279319664669345
bussimulator:ultimate	13371	928.0	8856.0	1881.0	771.0	642.0	277.0	0.7963734510490335	1.627819049866824
choice数据	11926	4.0	907.0	2164.0	3147.0	3649.0	2017.0	0.7964293291346501	1.6279436543549854
cncbk商城	14678	3.0	823.0	2012.0	3612.0	5179.0	3037.0	0.7964220414954795	1.6279225950033758
excel	745246	1025.0	130914.0	189289.0	179070.0	168775.0	75352.0	0.7963580281136776	1.6276973523956937
gangstar4	27457	940.0	15743.0	3979.0	1860.0	3626.0	1278.0	0.796357287262294	1.6277985215962083
heroesarena	15025	201.0	8625.0	3107.0	1714.0	1121.0	251.0	0.7963916851878335	1.6278678685483532
lep'sworld	11185	59.0	2480.0	3415.0	3085.0	1816.0	329.0	0.79643055965176	1.6279453595271838
org.codeaurora.bluetooth	31460	32.0	5400.0	7961.0	8282.0	7040.0	2691.0	0.7964311141367049	1.627947487127261
superbunnyman	17401	620.0	9889.0	2630.0	1742.0	1981.0	528.0	0.7963880006085033	1.627860767485134
wifi万能钥匙主人版	45113	302.0	11075.0	7628.0	8100.0	10065.0	7868.0	0.7964313317454731	1.6279497933826284
一起公考公务员	84411	60.0	29077.0	33436.0	16586.0	3334.0	1891.0	0.7962905768791443	1.6275359068999555
三国战纪2	14004	79.0	2152.0	3403.0	4598.0	3254.0	513.0	0.7964296298983617	1.627943597788357
上海中原地产	12861	38.0	1860.0	2616.0	3294.0	3404.0	1603.0	0.796433914060914	1.6279581214184318
东吴秀财	44103	8.0	2157.0	5487.0	11863.0	16546.0	7953.0	0.7963880653629825	1.6278269438118318
中国人才热线	34111	19.0	5656.0	8909.0	9522.0	8313.0	1677.0	0.7964262923641032	1.627927809925995
中小学英语同步听写	13732	18.0	667.0	976.0	2360.0	8048.0	1645.0	0.7963938056113156	1.6278778765778374
丰小哥	27380	16.0	5068.0	8224.0	8544.0	4960.0	564.0	0.7964204408864867	1.6279067193504122
付费通	41437	24.0	1720.0	4266.0	9769.0	16298.0	9174.0	0.7963792811793299	1.6278013929071056
企查猫企业查询	13472	36.0	2770.0	3492.0	3448.0	2775.0	942.0	0.7964338587572437	1.6279565057631216
伴生活	84989	204.0	11356.0	14907.0	18709.0	26010.0	13692.0	0.7964125250096385	1.6279003323356027
作业盒子小学	621398	367.0	8321.0	21532.0	160822.0	371801.0	58062.0	0.7941590098842202	1.6225927822284103
你我贷借款	853709	332.0	179411.0	254072.0	223268.0	166676.0	29786.0	0.796131652016998	1.6267768914796077
傲游5浏览器	38243	87.0	4133.0	6517.0	10668.0	12938.0	3854.0	0.7964160488457227	1.627914037120588
